"","epsilon","cost","error","dispersion"
"1",0,4,0.11995083709806,0.0153246425379925
"2",0.1,4,0.11995083709806,0.0153246425379925
"3",0.2,4,0.11995083709806,0.0153246425379925
"4",0.3,4,0.11995083709806,0.0153246425379925
"5",0.4,4,0.11995083709806,0.0153246425379925
"6",0.5,4,0.11995083709806,0.0153246425379925
"7",0.6,4,0.11995083709806,0.0153246425379925
"8",0.7,4,0.11995083709806,0.0153246425379925
"9",0.8,4,0.11995083709806,0.0153246425379925
"10",0.9,4,0.11995083709806,0.0153246425379925
"11",1,4,0.11995083709806,0.0153246425379925
"12",0,8,0.119955266188325,0.0199658818572506
"13",0.1,8,0.119955266188325,0.0199658818572506
"14",0.2,8,0.119955266188325,0.0199658818572506
"15",0.3,8,0.119955266188325,0.0199658818572506
"16",0.4,8,0.119955266188325,0.0199658818572506
"17",0.5,8,0.119955266188325,0.0199658818572506
"18",0.6,8,0.119955266188325,0.0199658818572506
"19",0.7,8,0.119955266188325,0.0199658818572506
"20",0.8,8,0.119955266188325,0.0199658818572506
"21",0.9,8,0.119955266188325,0.0199658818572506
"22",1,8,0.119955266188325,0.0199658818572506
"23",0,16,0.114319248826291,0.0239057518320342
"24",0.1,16,0.114319248826291,0.0239057518320342
"25",0.2,16,0.114319248826291,0.0239057518320342
"26",0.3,16,0.114319248826291,0.0239057518320342
"27",0.4,16,0.114319248826291,0.0239057518320342
"28",0.5,16,0.114319248826291,0.0239057518320342
"29",0.6,16,0.114319248826291,0.0239057518320342
"30",0.7,16,0.114319248826291,0.0239057518320342
"31",0.8,16,0.114319248826291,0.0239057518320342
"32",0.9,16,0.114319248826291,0.0239057518320342
"33",1,16,0.114319248826291,0.0239057518320342
"34",0,32,0.114788732394366,0.0241247297046347
"35",0.1,32,0.114788732394366,0.0241247297046347
"36",0.2,32,0.114788732394366,0.0241247297046347
"37",0.3,32,0.114788732394366,0.0241247297046347
"38",0.4,32,0.114788732394366,0.0241247297046347
"39",0.5,32,0.114788732394366,0.0241247297046347
"40",0.6,32,0.114788732394366,0.0241247297046347
"41",0.7,32,0.114788732394366,0.0241247297046347
"42",0.8,32,0.114788732394366,0.0241247297046347
"43",0.9,32,0.114788732394366,0.0241247297046347
"44",1,32,0.114788732394366,0.0241247297046347
"45",0,64,0.114317034281159,0.0280005808560042
"46",0.1,64,0.114317034281159,0.0280005808560042
"47",0.2,64,0.114317034281159,0.0280005808560042
"48",0.3,64,0.114317034281159,0.0280005808560042
"49",0.4,64,0.114317034281159,0.0280005808560042
"50",0.5,64,0.114317034281159,0.0280005808560042
"51",0.6,64,0.114317034281159,0.0280005808560042
"52",0.7,64,0.114317034281159,0.0280005808560042
"53",0.8,64,0.114317034281159,0.0280005808560042
"54",0.9,64,0.114317034281159,0.0280005808560042
"55",1,64,0.114317034281159,0.0280005808560042
"56",0,128,0.114788732394366,0.0290510663415083
"57",0.1,128,0.114788732394366,0.0290510663415083
"58",0.2,128,0.114788732394366,0.0290510663415083
"59",0.3,128,0.114788732394366,0.0290510663415083
"60",0.4,128,0.114788732394366,0.0290510663415083
"61",0.5,128,0.114788732394366,0.0290510663415083
"62",0.6,128,0.114788732394366,0.0290510663415083
"63",0.7,128,0.114788732394366,0.0290510663415083
"64",0.8,128,0.114788732394366,0.0290510663415083
"65",0.9,128,0.114788732394366,0.0290510663415083
"66",1,128,0.114788732394366,0.0290510663415083
